proboscis,snout
night_raven,night_bird
visual_area,cortical_area
striate_cortex,cortical_area
auditory_area,cortical_area
sensorimotor_area,cortical_area
brodmann's_area,cortical_area
language_area,cortical_area
sensorium,cortical_area
motor_area,cortical_area
uvula,soft_palate
cone,retina
macula,retina
parafovea,retina
blind_spot,retina
fovea,retina
visual_cell,retina
rod,retina
urethral_sphincter,urethra
urethral_orifice,urethra
falcon-gentle,peregrine
prothorax,thorax
rib_cage,thorax
pectoral,thorax
male_chest,thorax
gallbladder,thorax
chest_cavity,thorax
sternum,thorax
breast,thorax
female_chest,thorax
thoracic_vein,thorax
thoracic_aorta,thorax
purkinje_fiber,purkinje_network
gaskin,hind_leg
stifle,hind_leg
hock,hind_leg
black-fronted_bush_shrike,bush_shrike
lake_trout,lake_trout
pygmy_chimpanzee,chimpanzee
western_chimpanzee,chimpanzee
eastern_chimpanzee,chimpanzee
crappie,sunfish
sunfish,sunfish
rock_bass,sunfish
black_bass,sunfish
freshwater_bream,sunfish
blue_catfish,channel_catfish
mastoid,temporal_bone
tympanic_bone,temporal_bone
glenoid_fossa,temporal_bone
ant_shrike,antbird
spotted_antbird,antbird
ant_thrush,antbird
valley_pocket_gopher,gopher
southeastern_pocket_gopher,gopher
plains_pocket_gopher,gopher
northern_pocket_gopher,gopher
tonsure,pate
toothed_whale,whale
baleen_whale,whale
spouter,whale
narwhal,whale
runner,jack
rainbow_runner,jack
kingfish,jack
threadfish,jack
crevalle_jack,jack
amberjack,jack
leatherjacket,jack
rudderfish,jack
yellowtail,jack
yellow_jack,jack
grubby,sculpin
bullhead,sculpin
miller's-thumb,sculpin
wild_sheep,bovid
bison,bovid
musk_ox,bovid
old_world_buffalo,bovid
bovine,bovid
sheep,bovid
antelope,bovid
forest_goat,bovid
goat_antelope,bovid
goat,bovid
sagebrush_lizard,spiny_lizard
fence_lizard,spiny_lizard
motor_neuron,motor_nerve
pyramidal_tract,motor_nerve
ventral_root,motor_nerve
motor_fiber,motor_nerve
shanny,blenny
molly_miller,blenny
reticular_activating_system,reticular_formation
tiger_cat,wildcat
jungle_cat,wildcat
sand_cat,wildcat
ocelot,wildcat
lynx,wildcat
kaffir_cat,wildcat
european_wildcat,wildcat
serval,wildcat
manul,wildcat
margay,wildcat
minimus,digit
toe,digit
finger,digit
nail,digit
phalanx,digit
field_mouse,mouse
house_mouse,mouse
wood_mouse,mouse
harvest_mouse,mouse
jersey,dairy_cattle
ayrshire,dairy_cattle
brown_swiss,dairy_cattle
friesian,dairy_cattle
guernsey,dairy_cattle
milking_shorthorn,dairy_cattle
chiacoan_peccary,peccary
white-lipped_peccary,peccary
collared_peccary,peccary
resplendent_quetzel,quetzal
eschar,scab
giant_moa,moa
anomalopteryx,moa
godwit,shorebird
plover,shorebird
stilt,shorebird
stone_curlew,shorebird
oystercatcher,shorebird
stilt,shorebird
surfbird,shorebird
courser,shorebird
snipe,shorebird
woodcock,shorebird
avocet,shorebird
sandpiper,shorebird
curlew,shorebird
phalarope,shorebird
nyala,harnessed_antelope
bushbuck,harnessed_antelope
walrus,pinniped_mammal
seal,pinniped_mammal
rainbow_trout,rainbow_trout
crab-eating_macaque,macaque
barbary_ape,macaque
bonnet_macaque,macaque
encolure,mane
woolly_mammoth,mammoth
proboscis,mammoth
imperial_mammoth,mammoth
columbian_mammoth,mammoth
superior_labial_vein,labial_vein
inferior_labial_vein,labial_vein
manduca_quinquemaculata,hawkmoth
manduca_sexta,hawkmoth
death's-head_moth,hawkmoth
octopus,octopod
paper_nautilus,octopod
spotted_hyena,hyena
striped_hyena,hyena
aardwolf,hyena
brown_hyena,hyena
pallidum,lenticular_nucleus
putamen,lenticular_nucleus
old_world_quail,quail
bobwhite,quail
california_quail,quail
quail,quail
lucy,australopithecus_afarensis
astrocyte,neurogliacyte
microgliacyte,neurogliacyte
oligodendrocyte,neurogliacyte
marsupial,metatherian
venae_labiales_anteriores,labial_vein
venae_labiales_posteriores,labial_vein
fluke,flatworm
tapeworm,flatworm
flame_cell,flatworm
planarian,flatworm
walking_leaf,phasmid
walking_stick,phasmid
occipital_gyrus,occipital_lobe
calcarine_sulcus,occipital_lobe
striate_cortex,occipital_lobe
deer_mouse,wood_mouse
cotton_mouse,wood_mouse
pygmy_mouse,wood_mouse
cactus_mouse,wood_mouse
cecropia,saturniid
giant_silkworm_moth,saturniid
tussah,saturniid
luna_moth,saturniid
polyphemus_moth,saturniid
hepatic_tanager,tanager
scarlet_tanager,tanager
summer_tanager,tanager
cob,harness_horse
hackney,harness_horse
dermatoglyphic,wrinkle
line_of_heart,wrinkle
line_of_life,wrinkle
line_of_fate,wrinkle
frown_line,wrinkle
inferior_labial_artery,labial_artery
superior_labial_artery,labial_artery
caecilian,amphibian
urodele,amphibian
salamander,amphibian
hynerpeton_bassetti,amphibian
labyrinthodont,amphibian
frog,amphibian
ichyostega,amphibian
butterfly_ray,stingray
roughtail_stingray,stingray
epicardium,pericardium
postcentral_gyrus,central_gyrus
precentral_gyrus,central_gyrus
pocketed_bat,freetail
guano_bat,freetail
moloch,agamid
agama,agamid
frilled_lizard,agamid
pacific_sardine,pilchard
booklouse,psocopterous_insect
psocid,psocopterous_insect
standard_schnauzer,schnauzer
giant_schnauzer,schnauzer
miniature_schnauzer,schnauzer
queen_bee,queen
eastern_coral_snake,coral_snake
western_coral_snake,coral_snake
ichthyosaur,archosaur
nothosaur,archosaur
pterosaur,archosaur
dinosaur,archosaur
thecodont,archosaur
microgliacyte,microglia
greater_yellowlegs,yellowlegs
lesser_yellowlegs,yellowlegs
aegyptopithecus,hominoid
algeripithecus_minutus,hominoid
ferret_badger,badger
hog_badger,badger
american_badger,badger
uterus,female_internal_reproductive_organ
ovary,female_internal_reproductive_organ
fallopian_tube,female_internal_reproductive_organ
lesser_rorqual,rorqual
sei_whale,rorqual
finback,rorqual
white_croaker,croaker
croaker,croaker
atlantic_croaker,croaker
white_croaker,croaker
yellowfin_croaker,croaker
beaugregory,damselfish
sergeant_major,damselfish
anemone_fish,damselfish
plicatoperipatus_jamaicensis,onychophoran
neuromuscular_junction,synapse
conjunctiva,eyelid
eyelash,eyelid
sacral_vertebra,sacrum
roe,spawn
grizzly,brown_bear
alaskan_brown_bear,brown_bear
